Epoch,Step,d_loss,g_loss,D_real,D_fake
215,5,1.998313,0.042124,0.499331,0.498910
216,5,2.009346,-0.047258,0.507208,0.509544
217,5,2.001734,-0.026847,0.511770,0.512204
218,5,1.974210,0.023444,0.505920,0.499474
219,5,1.996406,0.008912,0.496840,0.495941
220,5,1.988975,0.016351,0.499093,0.496337
221,5,1.995219,0.022389,0.500430,0.499235
222,5,1.995537,-0.022730,0.504258,0.503143
223,5,1.985765,-0.056058,0.512810,0.509252
224,5,1.987522,-0.001267,0.504316,0.501197
225,5,1.970538,0.041589,0.499844,0.492480
226,5,2.002742,0.035105,0.494851,0.495535
227,5,2.002522,0.024653,0.501285,0.501916
228,5,1.993964,0.003448,0.496550,0.495041
229,5,1.982354,-0.013664,0.507670,0.503260
230,5,2.016307,-0.047034,0.514785,0.518858
231,5,1.998040,0.049901,0.495984,0.495493
232,5,1.988200,0.038095,0.492413,0.489463
233,5,1.962397,-0.015064,0.510617,0.501219
234,5,1.968947,0.002682,0.502012,0.494249
235,5,1.999239,0.022449,0.498162,0.497971
236,5,2.020754,0.021259,0.497697,0.502884
237,5,2.010943,-0.012774,0.502579,0.505315
238,5,1.982775,-0.041628,0.508139,0.503834
239,5,1.982988,-0.022596,0.506232,0.501979
240,5,2.002977,0.025325,0.493736,0.494479
241,5,1.975564,0.044425,0.494251,0.488144
242,5,1.999113,-0.015217,0.507212,0.506993
243,5,1.981591,-0.010554,0.504954,0.500354
244,5,1.968229,0.001925,0.501563,0.493621
245,5,1.979041,-0.020914,0.505134,0.499899
246,5,1.994329,-0.045655,0.514390,0.512974
247,5,1.981042,0.006520,0.508111,0.503372
248,5,1.980629,0.058563,0.491758,0.486919
249,5,1.985894,-0.016562,0.502606,0.499079
250,5,1.955101,-0.052938,0.524815,0.513611
251,5,1.966550,0.133040,0.491188,0.482835
252,5,1.962167,0.022370,0.507220,0.497765
253,5,2.024903,-0.093856,0.525412,0.531620
254,5,1.984723,0.021978,0.507924,0.504106
255,5,1.983592,0.094264,0.484013,0.479918
256,5,1.971306,-0.011839,0.505390,0.498219
257,5,1.996723,-0.089411,0.522763,0.521950
258,5,1.983791,0.039695,0.498027,0.493975
259,5,1.955660,0.168011,0.477931,0.466879
260,5,1.969486,-0.007832,0.503432,0.495804
261,5,2.002864,-0.085340,0.520657,0.521376
262,5,1.967685,0.033191,0.498259,0.490184
263,5,2.008033,0.097460,0.477399,0.479400
264,5,1.969943,0.080690,0.505220,0.497709
265,5,1.916251,0.067741,0.501811,0.480899
266,5,1.988844,0.039356,0.502185,0.499396
267,5,1.992665,0.027434,0.502964,0.501130
268,5,1.984625,-0.023762,0.514130,0.510293
269,5,1.986251,-0.015384,0.510241,0.506807
270,5,1.997293,0.078846,0.496144,0.495467
271,5,1.995348,0.066108,0.486399,0.485236
272,5,1.978478,-0.029993,0.511943,0.506567
273,5,1.966849,-0.060605,0.527266,0.518999
274,5,1.998132,-0.003772,0.504089,0.503623
275,5,1.980730,0.117726,0.485525,0.480713
276,5,1.971795,-0.026491,0.509700,0.502650
277,5,2.049173,-0.126954,0.534030,0.546259
278,5,1.975460,0.015600,0.499805,0.493673
279,5,1.969674,0.096942,0.488877,0.481306
280,5,1.981332,0.081956,0.482365,0.477712
281,5,1.987959,-0.012266,0.504678,0.501669
282,5,1.979916,-0.096716,0.529921,0.524918
283,5,2.013053,-0.002831,0.515199,0.518457
284,5,1.952099,0.140521,0.484852,0.472903
285,5,1.975622,0.095763,0.485354,0.479266
286,5,2.015185,-0.057896,0.516945,0.520736
287,5,1.995392,-0.018196,0.507817,0.506667
288,5,1.964039,0.035426,0.508700,0.499714
289,5,1.993925,0.067533,0.483572,0.482054
290,5,1.977344,-0.042459,0.507971,0.502310
291,5,1.998749,0.036670,0.497443,0.497130
292,5,1.973871,0.134439,0.479308,0.472791
293,5,1.975446,-0.003350,0.506374,0.500237
294,5,2.008605,-0.169277,0.540463,0.542611
295,5,1.999052,-0.011277,0.509788,0.509550
296,5,2.021911,0.183027,0.460508,0.465945
297,5,1.978092,0.092179,0.478093,0.472624
298,5,1.964014,-0.016381,0.513270,0.504280
299,5,1.951445,-0.073241,0.525360,0.513247
300,5,2.001153,0.019346,0.507258,0.507547
301,5,1.975594,0.082111,0.493415,0.487324
302,5,1.993493,0.018941,0.494052,0.492427
303,5,1.968091,-0.016291,0.506958,0.498984
304,5,1.965646,0.059755,0.504414,0.495832
305,5,1.984826,0.005193,0.499104,0.495313
306,5,1.971314,0.044657,0.500641,0.493471
307,5,1.996629,0.054128,0.496885,0.496044
308,5,1.991017,-0.027311,0.513349,0.511113
309,5,1.984312,-0.037929,0.514514,0.510604
310,5,1.978606,0.120117,0.486112,0.480777
311,5,2.030156,0.088067,0.475017,0.482524
312,5,2.018897,-0.047130,0.520047,0.524761
313,5,1.999709,-0.009734,0.508747,0.508676
314,5,1.977044,0.079980,0.487783,0.482055
315,5,1.958265,0.104297,0.502102,0.491672
316,5,1.994900,-0.012818,0.508534,0.507266
317,5,1.986082,0.020031,0.507461,0.503984
318,5,1.967939,-0.002419,0.506602,0.498593
319,5,1.967577,-0.115336,0.527826,0.519758
320,5,1.932805,0.038094,0.507877,0.491105
321,5,2.012098,0.040372,0.494018,0.497044
322,5,1.957277,0.049504,0.485829,0.475168
323,5,1.912383,-0.039205,0.511794,0.489912
324,5,2.031827,-0.155255,0.542182,0.550092
325,5,1.998978,-0.024540,0.516646,0.516392
326,5,1.997997,0.078697,0.478150,0.477652
327,5,1.938484,0.048207,0.502702,0.487332
328,5,1.995030,-0.124978,0.530579,0.529350
329,5,1.964662,-0.040882,0.521262,0.512436
330,5,1.973840,0.108274,0.478564,0.472039
331,5,2.007491,0.085096,0.473497,0.475366
332,5,1.952169,-0.129117,0.525654,0.513739
333,5,1.970818,-0.141293,0.526205,0.518930
334,5,1.939164,0.086635,0.496788,0.481604
335,5,1.973352,0.018585,0.502646,0.495991
336,5,2.020595,-0.122581,0.532161,0.537297
337,5,1.969644,0.028362,0.504235,0.496655
338,5,1.977641,0.100776,0.487864,0.482282
339,5,1.926699,0.014366,0.504976,0.486672
340,5,1.941357,-0.071281,0.525325,0.510704
341,5,1.959269,0.047003,0.503254,0.493080
342,5,1.948362,0.133694,0.487510,0.474625
343,5,1.974261,0.030469,0.501375,0.494943
344,5,1.970126,-0.051145,0.521676,0.514236
345,5,1.962504,0.055936,0.504968,0.495601
346,5,1.953594,0.018815,0.501924,0.490340
347,5,1.947568,-0.086149,0.538969,0.525978
348,5,1.953065,0.077999,0.509558,0.497832
349,5,2.016304,0.139938,0.468998,0.473055
350,5,1.971865,0.022409,0.512022,0.505007
351,5,2.038507,-0.027049,0.544311,0.553872
352,5,1.939199,0.156929,0.485505,0.470362
353,5,1.941573,-0.047207,0.514707,0.500131
354,5,1.944887,-0.227783,0.550000,0.536392
355,5,1.866778,0.148524,0.525927,0.492695
356,5,2.032976,0.495612,0.429155,0.437177
357,5,1.987915,-0.075477,0.512282,0.509272
358,5,2.011528,-0.264986,0.568037,0.571018
359,5,1.968788,-0.087540,0.537526,0.529763
360,5,1.993522,0.087876,0.493552,0.491937
361,5,1.964952,0.172862,0.465130,0.456410
362,5,2.012121,0.015960,0.489409,0.492430
363,5,1.976573,-0.027798,0.505763,0.499935
364,5,1.983618,-0.126346,0.543037,0.538952
365,5,1.924425,0.028482,0.526786,0.507986
366,5,1.952924,0.129988,0.487865,0.476134
367,5,1.937853,0.055388,0.500383,0.484866
368,5,1.923141,-0.034202,0.546554,0.527631
369,5,1.983608,0.001073,0.510036,0.505947
370,5,1.905106,0.092269,0.491566,0.467915
371,5,2.023382,0.005407,0.498825,0.504661
372,5,1.923660,0.114946,0.506451,0.487418
373,5,2.006553,-0.075232,0.507914,0.509535
374,5,1.953384,-0.064013,0.517306,0.505677
375,5,1.954248,0.102378,0.496241,0.484827
376,5,2.032487,0.080645,0.464391,0.472336
377,5,1.923675,0.029936,0.514734,0.495693
378,5,1.918998,-0.108250,0.545630,0.525508
379,5,1.928769,0.091334,0.522406,0.504733
380,5,1.974313,0.136778,0.471382,0.464983
381,5,1.933552,-0.069742,0.532325,0.515792
382,5,1.922781,-0.040470,0.530489,0.511257
383,5,1.987066,0.162024,0.492737,0.489504
384,5,1.924564,0.093231,0.489770,0.470963
385,5,1.906197,-0.036253,0.542138,0.518796
386,5,1.860685,-0.011306,0.524683,0.490190
387,5,1.847574,0.041281,0.473394,0.435675
388,5,2.263314,-0.183084,0.478369,0.543867
389,5,1.923779,-0.171901,0.534940,0.515977
